line=1 | status=[HIGH RISK] | reason=URL failed strict regex validation | basis=PIPL Article 51 – data integrity and security measures | raw=title,url
line=2 | status=[HIGH RISK] | reason=URL failed strict regex validation | basis=PIPL Article 51 – data integrity and security measures | raw=2025年网络安全,,漏洞态势报告,https://download.h3c.com/app/cn/.download.do?id=15643442
line=3 | status=[INFO] | reason=Row passed integrity, format, and reachability checks | basis=PIPL Article 51 – data integrity and security measures | raw=大模型在数据安全领域的应用探索,https://mp.weixin.qq.com/s/MhBuGn.yVKbuqpfea1zs3ww
line=4 | status=[HIGH RISK] | reason=URL failed strict regex validation | basis=PIPL Article 51 – data integrity and security measures | raw=Tuoni: 跨平台红队演练框架,https://github
line=5 | status=[INFO] | reason=Row passed integrity, format, and reachability checks | basis=PIPL Article 51 – data integrity and security measures | raw=指纹险深度分析,https://mp.weixin.qq.com/s/jXEsghpI9SNX6ckzgkNrzQ
line=6 | status=[INFO] | reason=Row passed integrity, format, and reachability checks | basis=PIPL Article 51 – data integrity and security measures | raw=星地链路加密协议深度解析,https://mp.weixin.qq.com/s/MSB2u_XOp7Pu4Yjy_oM0Zg
line=7 | status=[HIGH RISK] | reason=URL not reachable: TimeoutError | basis=PIPL Article 51 – data integrity and security measures | raw=人工智能产业发展研究报告（2025年）,https://www.caict.ac.cn/kxyj/qwfb/bps/202602/P020260202487301304903.pdf
line=8 | status=[HIGH RISK] | reason=URL not reachable: HTTPError 404 | basis=PIPL Article 51 – data integrity and security measures | raw=数据就绪：AI SOC平台隐秘的死穴,https://mp.weixin.qq.com/_ZYTUjkzesuNcw
line=9 | status=[INFO] | reason=Row passed integrity, format, and reachability checks | basis=PIPL Article 51 – data integrity and security measures | raw=2025美国网络安全十大项目：自动防御、AI监管、能源安全,https://mp.weixin.qq.com/s/R0ObGKrsPNN-qHyF610uAA
line=10 | status=[INFO] | reason=Row passed integrity, format, and reachability checks | basis=PIPL Article 51 – data integrity and security measures | raw=从某群友感染银狐病毒说起,https://mp.weixin.qq.com/s/Bc41yBPVbDseqWZINS4ZHQ
line=11 | status=[HIGH RISK] | reason=URL not reachable: URLError timed out | basis=PIPL Article 51 – data integrity and security measures | raw=flowsint: OSINT开源图形可视化平台,https://github.com/reconurge/flowsint?tab=readme-ov-file
line=12 | status=[INFO] | reason=Row passed integrity, format, and reachability checks | basis=PIPL Article 51 – data integrity and security measures | raw=AI 2025创新性案例报告,https://isc.360kan.com/iscvideo-bucket/e98bd0f97f0ff2d28dc68287b8cc4959_600644d6.pdf
line=13 | status=[HIGH RISK] | reason=URL not reachable: URLError timed out | basis=PIPL Article 51 – data integrity and security measures | raw=ExternalHound: 基于 FastAPI + React 的企业级资产管理和关系图谱可视化平台,https://github.com/bilisheep/ExternalHound/tree/main/
line=14 | status=[HIGH RISK] | reason=URL failed strict regex validation | basis=PIPL Article 51 – data integrity and security measures | raw=通过代码生成LLM对软件包幻觉进行全面分析,https://mp.weixin.qq.
